Date|Name|Description|Amount|Action
3/12/2023|Architect Design LLC|Drafting of House Layout|200.00|Deposit
3/15/2023|Website Gurus INC|Implementing Stripe Checkout|300.99|Deposit
3/17/2023|Business University|Spring semester payment|1000.00|Payment
4/05/2023|Bakers Man Pizzeria|Company lunch outing special|115.00|Payment
5/16/2023|Home Improvement World|Lawn care supply|95.55|Payment
6/10/2023|Architect Design LLC|Revision|200.00|Deposit
8/19/2023|Website Gurus INC|Restructuring landing page|250.00|Payment
4/13/2023|Home Improvement World| Kitchen countertop installation|500.85|Deposit
4/5/2023|Bakers Man Pizzeria|Christmas Party dinner special|150.00|Payment
8/17/2023|Business University|Fall semester payment|1000.00|Payment
11/11/2023|Business University|Career Network Seminar VIP|20.00|Payment
09/14/2023|Website Gurus INC|Updating store  API|120.89|Deposit
4/7/2023|Bakers Man Pizzeria|Birthday Party  special|80.56|Payment
7/20/2023|Home Improvement World|Washer and Dryer Installation|57.99|Deposit
10/29/2022|Sony|video games|60.88|Payment
09/18/2018|Walgreens|Cough Medicine and first aid|20.0|Deposit
09/13/2022|Sega|Sonic Superstars|50.0|Deposit
03/04/2023|Sega|Sonic Superstars|50.0|Deposit
08/17/2023|Nintendo|Pokemon|50.0|Deposit
10/1/2023|Nintendo|Gamecube memory cards|25.00|Payment
10/17/2023|Nintendo|Gamecube memory cards|25.00|Payment
10/16/2023|Nintendo|Nintendo LED Switch|300.00|Deposit
10/20/2023|Nintendo|Pro controller|60.00|Payment
02/15/2023|Sony|Sonic Mega Collection Plus|20.0|Deposit
07/15/2022|Lowe's Home Improvement|hammer|7.0|Deposit
08/23/2023|Sega|Sonic Mega Collection|40.0|Deposit
